ego_id,n,seed,complete_pivot_best_cost,complete_pivot_average_cost,complete_ilp_cost,complete_lp_cost,p_delete,edge_pivot_best_cost,edge_pivot_average_cost,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,complete_min_max_cc_computed,complete_min_max_cc_cluster_count,complete_min_max_cc_max_disagreement,complete_min_max_cc_d_hat,complete_min_max_cc_lambda,complete_min_max_cc_runtime_seconds,complete_min_max_lp_computed,complete_min_max_lp_cost,complete_min_max_lp_rounding_cost,complete_min_max_lp_max_disagreement_vertex,complete_min_max_lp_cluster_count,complete_min_max_lp_r,complete_min_max_lp_r2,complete_min_max_lp_method,complete_min_max_lp_norm,complete_min_max_lp_runtime_seconds,complete_min_max_lp_rounding_runtime_seconds,complete_min_max_lp_total_runtime_seconds,edge_min_max_cc_computed,edge_min_max_cc_cluster_count,edge_min_max_cc_max_disagreement,edge_min_max_cc_d_hat,edge_min_max_cc_lambda,edge_min_max_cc_runtime_seconds,edge_min_max_lp_computed,edge_min_max_lp_cost,edge_min_max_lp_rounding_cost,edge_min_max_lp_max_disagreement_vertex,edge_min_max_lp_cluster_count,edge_min_max_lp_r,edge_min_max_lp_r2,edge_min_max_lp_method,edge_min_max_lp_norm,edge_min_max_lp_runtime_seconds,edge_min_max_lp_rounding_runtime_seconds,edge_min_max_lp_total_runtime_seconds
0,342,22,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,302,38,8,5,0.024363,,,,,,,,,,,,
0,342,23,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,310,37,8,5,0.024084,,,,,,,,,,,,
0,342,24,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,307,41,8,5,0.024648,,,,,,,,,,,,
0,342,25,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,308,38,8,5,0.0239,,,,,,,,,,,,
0,342,26,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,303,42,8,5,0.023475,,,,,,,,,,,,
0,342,27,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,307,41,8,5,0.024163,,,,,,,,,,,,
0,342,28,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,307,40,8,5,0.02414,,,,,,,,,,,,
0,342,29,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,298,43,8,5,0.023908,,,,,,,,,,,,
0,342,30,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,304,44,8,5,0.024104,,,,,,,,,,,,
0,342,1,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,330,44,8,5,0.023882,,,,,,,,,,,,
0,342,2,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,328,40,8,5,0.023536,,,,,,,,,,,,
0,342,3,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,327,42,8,5,0.024129,,,,,,,,,,,,
0,342,4,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,321,41,8,5,0.024627,,,,,,,,,,,,
0,342,5,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,323,40,8,5,0.023751,,,,,,,,,,,,
0,342,6,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,331,42,8,5,0.024022,,,,,,,,,,,,
0,342,7,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,325,36,8,5,0.024863,,,,,,,,,,,,
0,342,8,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,326,46,8,5,0.02474,,,,,,,,,,,,
0,342,9,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,336,43,8,5,0.024508,,,,,,,,,,,,
0,342,10,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,327,37,8,5,0.024883,,,,,,,,,,,,
0,342,11,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,329,40,8,5,0.024607,,,,,,,,,,,,
0,342,12,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,330,41,8,5,0.024743,,,,,,,,,,,,
0,342,13,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,325,45,8,5,0.023936,,,,,,,,,,,,
0,342,14,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,326,43,8,5,0.023947,,,,,,,,,,,,
0,342,15,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,325,36,8,5,0.023642,,,,,,,,,,,,
0,342,16,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,327,38,8,5,0.024769,,,,,,,,,,,,
0,342,17,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,326,41,8,5,0.023849,,,,,,,,,,,,
0,342,18,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,324,36,8,5,0.023991,,,,,,,,,,,,
0,342,19,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,321,39,8,5,0.023704,,,,,,,,,,,,
0,342,20,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,317,38,8,5,0.023597,,,,,,,,,,,,
0,342,21,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,326,41,8,5,0.024305,,,,,,,,,,,,
0,342,22,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,330,40,8,5,0.024089,,,,,,,,,,,,
0,342,23,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,333,40,8,5,0.023686,,,,,,,,,,,,
0,342,24,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,328,36,8,5,0.024206,,,,,,,,,,,,
0,342,25,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,333,43,8,5,0.023555,,,,,,,,,,,,
0,342,26,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,326,42,8,5,0.023193,,,,,,,,,,,,
0,342,27,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,325,40,8,5,0.023864,,,,,,,,,,,,
0,342,28,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,329,41,8,5,0.024073,,,,,,,,,,,,
0,342,29,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,326,40,8,5,0.024336,,,,,,,,,,,,
0,342,30,,,,,0.4,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,326,40,8,5,0.02369,,,,,,,,,,,,
107,1035,1,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,377,619,8,5,0.676084,,,,,,,,,,,,
107,1035,2,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,392,614,8,5,0.674353,,,,,,,,,,,,
107,1035,3,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,380,609,8,5,0.672944,,,,,,,,,,,,
107,1035,4,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,382,614,8,5,0.673567,,,,,,,,,,,,
107,1035,5,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,381,615,8,5,0.672328,,,,,,,,,,,,
107,1035,6,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,396,618,8,5,0.680044,,,,,,,,,,,,
107,1035,7,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,372,616,8,5,0.682108,,,,,,,,,,,,
107,1035,8,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,388,614,8,5,0.671489,,,,,,,,,,,,
107,1035,9,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,399,611,8,5,0.743117,,,,,,,,,,,,
107,1035,10,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,397,611,8,5,0.678974,,,,,,,,,,,,
107,1035,11,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,403,606,8,5,0.674493,,,,,,,,,,,,
107,1035,12,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,376,620,8,5,0.677732,,,,,,,,,,,,
107,1035,13,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,396,610,8,5,0.676873,,,,,,,,,,,,
107,1035,14,,,,,0.05,,,,,True,356,663,8,5,0.679579,,,,,,,,,,,,,True,400,615,8,5,0.674309,,,,,,,,,,,,
