ego_id,n,p_delete,graph_variant,d_hat,lambda,number_of_seeds,minmaxcc_best,min_max_lp_cost_best,minmaxcc_best_to_lp_ratio,minmaxcc_average,min_max_lp_cost_average,minmaxcc_average_to_lp_ratio,minmaxcc_worst,min_max_lp_cost_worst,minmaxcc_worst_to_lp_ratio,best_seed,worst_seed,min_max_lp_rounding_cost_best_seed,min_max_lp_runtime_seconds_best_seed
698,64,0.4,edge_deleted,8,5,30,12.0,4.682196,2.5629,18.0,5.710824,3.142719,20.0,5.798518,3.449157,22,26,7.0,2.509942
1684,792,0,complete,8,5,1,239.0,,,239.0,,,239.0,,,,,,
1684,792,0.05,edge_deleted,8,5,30,211.0,,,217.133333,,,225.0,,,,,,
1684,792,0.15,edge_deleted,8,5,30,168.0,,,176.933333,,,191.0,,,,,,
1684,792,0.25,edge_deleted,8,5,30,127.0,,,142.466667,,,159.0,,,,,,
1684,792,0.4,edge_deleted,8,5,30,66.0,,,90.933333,,,115.0,,,,,,
1912,751,0,complete,8,5,1,579.0,,,579.0,,,579.0,,,,,,
1912,751,0.05,edge_deleted,8,5,30,535.0,,,543.4,,,553.0,,,,,,
1912,751,0.15,edge_deleted,8,5,30,463.0,,,474.8,,,488.0,,,,,,
1912,751,0.25,edge_deleted,8,5,30,373.0,,,397.166667,,,418.0,,,,,,
1912,751,0.4,edge_deleted,8,5,30,236.0,,,259.766667,,,304.0,,,,,,
3437,534,0,complete,8,5,1,83.0,,,83.0,,,83.0,,,,,,
3437,534,0.05,edge_deleted,8,5,30,70.0,,,75.966667,,,81.0,,,,,,
3437,534,0.15,edge_deleted,8,5,30,58.0,,,62.3,,,69.0,,,,,,
3437,534,0.25,edge_deleted,8,5,30,49.0,,,57.566667,,,64.0,,,,,,
3437,534,0.4,edge_deleted,8,5,30,45.0,,,58.066667,,,72.0,,,,,,
3980,58,0,complete,8,5,1,18.0,7.342017,2.451642,18.0,7.342017,2.451642,18.0,7.342017,2.451642,,,13.0,1.398605
3980,58,0.05,edge_deleted,8,5,30,16.0,6.791876,2.355756,17.3,6.877524,2.51617,18.0,6.65963,2.702853,12,21,14.0,2.229796
3980,58,0.15,edge_deleted,8,5,30,14.0,5.991278,2.33673,15.933333,6.151383,2.591349,18.0,6.275629,2.868238,12,20,11.0,1.915425
3980,58,0.25,edge_deleted,8,5,30,13.0,5.447597,2.386373,14.3,5.335985,2.681984,16.0,5.121463,3.124107,26,20,10.0,1.549626
3980,58,0.4,edge_deleted,8,5,30,10.0,4.321736,2.313885,11.833333,4.04283,2.926174,13.0,3.730435,3.484848,12,20,8.0,2.205883
