n,clique_sizes,number_of_cliques,largest_clique_size,imbalance_ratio,balanced_or_unbalanced,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
25,10-10-5,3,10,2.0,unbalanced,200,200,29.04,22.445,0.7740373924977533,0.2259626075022467,1.0,0.9995450336700337,-0.0004549663299663326,1.3978772030386442,1.7894247057774129,0.3915475027387688,315.56,163.18,0.4810557980874814,0.9808075570219651,0.9683351302900128,39.095
25,12-7-6,3,12,2.0,unbalanced,200,200,28.78,22.225,0.7731196754196037,0.22688032458039628,1.0,0.999875,-0.0001250000000000001,1.4477112069166846,1.8288725927938905,0.38116138587720566,317.54,167.005,0.4737632374858893,0.9807486745398722,0.9752139703097358,40.41
25,13-12,2,13,1.0833333333333333,unbalanced,200,200,29.06,22.79,0.7839197176529406,0.21608028234705945,1.0,1.0,0.0,1.3360271807518895,2.03441025913699,0.6983830783851003,402.4,212.26,0.47255328133683716,0.9977014282186696,0.9909104858477149,68.635
30,10-10-10,3,10,1.0,balanced,200,200,41.58,32.225,0.7755184910987969,0.22448150890120308,1.0,1.0,0.0,1.466090486403719,1.876768001041502,0.41067751463778296,540.62,282.975,0.47608945514297946,0.9684424015284042,0.9691629339827594,81.45
30,15-10-5,3,15,3.0,unbalanced,200,200,42.0,32.655,0.7781659443777288,0.22183405562227118,1.0,0.9998913043478261,-0.00010869565217391297,1.510278224747799,1.9657736088341506,0.45549538408635154,588.42,311.0,0.47172519847619687,0.984055050818182,0.9845525077130033,102.555
30,15-15,2,15,1.0,balanced,200,200,42.18,32.9,0.7803717924815473,0.21962820751845266,1.0,1.0,0.0,1.4214573064076854,2.167686769570488,0.7462294631628025,713.26,376.505,0.47209579208443514,0.9959322372907905,0.9945928243948101,150.625
30,20-5-5,3,20,4.0,unbalanced,200,200,42.7,33.185,0.7773532380557551,0.22264676194424493,1.0,0.9998106591865358,-0.00018934081346423548,1.4822194306054883,2.199465002024998,0.7172455714195096,681.3,359.77,0.47211382564548254,0.9883661014004567,0.9899248077234318,146.57
100,10-10-10-10-10-10-10-10-10-10,10,10,1.0,balanced,95,95,497.2421052631579,402.62105263157895,0.8097643875186943,0.19023561248130572,0.8631495926810758,0.8637442770115029,0.0005946843304271135,1.6447953080935,1.6388083842042742,-0.00598692388922587,10193.305263157894,5683.757894736842,0.44185935019873696,0.7623903092191044,0.7673268293069156,2402.1052631578946
100,25-25-25-25,4,25,1.0,balanced,95,95,496.81052631578945,402.5473684210526,0.8104860964522147,0.1895139035477853,1.0,1.0,0.0,1.843082927687705,2.117039775123065,0.27395684743536014,18588.484210526316,10358.115789473684,0.44237640095064484,0.9117095111627666,0.932156233092287,8176.336842105263
100,60-25-10-5,4,60,12.0,unbalanced,95,95,494.7578947368421,400.4842105263158,0.8093814592914831,0.1906185407085169,1.0,1.0,0.0,1.8749552901027329,2.5055677925802557,0.630612502477523,25515.263157894737,14224.631578947368,0.44240501056789183,0.9467083922905515,0.9771031314070612,17853.947368421053
