n,p_positive,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
10,0.5,200,200,11.12,5.695,0.5141271367521367,0.4858728632478633,0.9528628038628039,0.9658784035113822,0.011256961123982386,1.1809842934842936,1.1652012437916692,-0.01540683016746845,44.4,17.27,0.6115734968023783,0.8365430125430126,0.8427864245683394,0.835
10,0.6,200,200,12.02,7.4,0.6187679542679543,0.3812320457320457,0.9791305361305361,0.9823105297480298,0.0031799936174936117,1.1675878565878566,1.2076776834276834,0.04008982683982684,51.02,23.26,0.5442065655917693,0.8916434676434677,0.8624222582972583,1.72
10,0.7,200,200,11.38,8.37,0.7440543623043623,0.2559456376956377,0.9973216783216783,0.9935312187812188,-0.0037904595404595386,1.1405476745476746,1.261790057165057,0.12124238261738263,51.38,26.58,0.48169868381008807,0.9304805194805195,0.8829291403041403,2.67
10,0.8,200,200,8.7,7.575,0.888825271950272,0.11117472804972804,1.0,0.9978161525974026,-0.002183847402597403,1.1615562215562216,1.4727083194583195,0.3111520979020979,45.5,26.24,0.4242660595728146,0.9841346986346986,0.9107966616716616,3.535
15,0.2,200,200,11.7,2.49,0.2123114144842086,0.7876885855157914,0.8639012964160023,0.9433287545787545,0.07982114925742377,1.1687658142511084,1.088391700891701,-0.08240373642334425,40.8,6.515,0.8394607857833768,0.7737125799037564,0.8642268225601559,0.035
15,0.3,200,200,18.88,6.215,0.3276737994655918,0.6723262005344083,0.8208356756175877,0.9102458658030572,0.08961257857375526,1.2033654356830559,1.1328641064431548,-0.07103968743728763,84.48,21.3,0.7496459347345403,0.7565043358721714,0.822822490671461,0.285
15,0.4,200,200,24.8,10.81,0.4344745439882478,0.5655254560117522,0.8347212594328963,0.8956120363184773,0.0608907768855809,1.211981718797027,1.1854064744774644,-0.026575244319562645,129.04,42.36,0.6729192926687733,0.7654676962507232,0.7900626588378327,1.725
15,0.5,200,200,30.02,16.4,0.5449665652558369,0.4550334347441632,0.8699581569414431,0.9147490318018127,0.044904240130469356,1.2080747242284327,1.2139773849769773,0.005854397910850476,168.9,68.285,0.5975339303855755,0.7939779193872304,0.8150479692819179,5.03
15,0.6,200,200,32.84,21.145,0.6441463681086567,0.35585363189134334,0.9295864255780646,0.9276396722006167,-0.0019467533774478168,1.1711397884703518,1.2323460339526866,0.061206245482334845,195.36,90.885,0.5352972202622274,0.8569302786713553,0.8095031335109565,10.79
15,0.7,200,200,29.52,23.045,0.7869075068120511,0.21309249318794893,0.995603004838299,0.9811059229270483,-0.01449708191125058,1.226408333299137,1.2787559259272196,0.052347592628082786,200.5,105.57,0.4733791562587537,0.9592905185553733,0.8727635844013208,19.155
15,0.8,200,200,20.64,19.255,0.9402528144022538,0.05974718559774613,1.0,0.9973301818204005,-0.002669818179599526,1.289455981901144,1.4919723483169824,0.20251636641583853,173.84,100.22,0.4237198531781886,0.9954721485411141,0.935476268504538,24.065
20,0.2,200,200,23.54,5.06,0.21502743359550786,0.7849725664044922,0.7988714987619854,0.908127620657015,0.10912322075313376,1.2336445184545408,1.1335907555005418,-0.10145180763295304,107.42,17.055,0.8401207665772866,0.7264489051898918,0.8158942744284995,0.135
20,0.3,200,200,36.48,12.35,0.33794077594537414,0.6620592240546259,0.7822782415753515,0.8851724591555796,0.10272842909700934,1.2681748336488787,1.2041006129498604,-0.06384029137431094,213.86,52.855,0.7535369329462874,0.7336895450095735,0.8047084193775114,1.17
20,0.4,200,200,49.04,21.73,0.44261792078235246,0.5573820792176476,0.7785013171419718,0.845599442780639,0.06709812563866728,1.2521162726392614,1.2455036480037975,-0.006612624635463972,329.66,108.275,0.6724444177086524,0.7330612439344257,0.7554193293488172,5.255
20,0.5,200,200,59.22,32.495,0.5482557355395835,0.45174426446041643,0.8048954434472873,0.8654293117341563,0.060533868286869005,1.2090966324714523,1.2451980528233946,0.036101420351942255,429.82,172.745,0.5984690138538884,0.7560435615321242,0.7731126646843094,16.445
20,0.6,200,200,63.4,41.99,0.6630578805503722,0.3369421194496279,0.8952158252501998,0.875202141945322,-0.02001368330487788,1.1827606030398068,1.250981182733869,0.06822057969406219,492.84,229.865,0.5335920297206276,0.836438680896278,0.7854203602624331,36.985
20,0.7,200,200,54.34,44.315,0.8188352966800553,0.18116470331994472,0.9951825980392157,0.9651821761900516,-0.030000421849163992,1.2408344550641315,1.2911878568027315,0.05035340173860012,499.84,262.26,0.47518108344152327,0.9651020807469053,0.8707744789403712,63.73
20,0.8,200,200,37.28,35.73,0.961321089219815,0.03867891078018501,1.0,0.9974241140145259,-0.0025758859854741324,1.3527222190596273,1.5116845400982484,0.15896232103862112,433.0,246.55,0.43120244160059135,0.9992153846153846,0.9510740529820931,80.615
25,0.2,200,200,39.64,8.7,0.2189535724211117,0.7810464275788883,0.7591051611983576,0.8846267742386441,0.12552161304028653,1.2840157410348643,1.2030910741575163,-0.08092466687734796,220.86,35.265,0.8408691195311503,0.7139863012489057,0.7903540048512134,0.29
25,0.3,200,200,62.06,21.06,0.33890251465282945,0.6610974853471706,0.7261509222073782,0.8484151979387401,0.12226427573136192,1.2855827311690133,1.2235154597955984,-0.06206727137341494,437.06,107.565,0.7541332556100939,0.6940712630597053,0.7709285751395033,3.045
