n,p_positive,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
25,0.5,50,50,98.1,68.68,0.6997675946094168,0.30023240539058316,0.7651830780171381,0.7682507071897005,0.0030676291725622385,1.2196455550075613,1.2484006040910265,0.028755049083465215,866.42,427.26,0.507422433357716,0.7343427295463126,0.7217871562713751,74.74
25,0.6,50,50,105.12,82.68,0.7866597696858977,0.2133402303141023,0.8550335175960525,0.8164979010439736,-0.03853561655207899,1.1838825823679786,1.2301911797978058,0.04630859742982729,995.16,558.48,0.43924351670291406,0.8182981211051769,0.7652042568519165,126.94
25,0.7,50,50,88.04,83.1,0.9463444952070419,0.05365550479295811,0.9944710138434658,0.9634327971004227,-0.03103821674304303,1.2931908096108546,1.2949465899933428,0.0017557803824881368,1012.9,626.1,0.3818317580902578,0.9788647320056126,0.8927916039210623,174.14
25,0.8,50,50,59.56,59.48,0.9986315789473684,0.0013684210526315789,1.0,1.0,0.0,1.3914543142590232,1.6243179081288641,0.23286359386984093,877.0,582.4,0.33604897516580445,1.0,0.995733639372719,186.8
30,0.2,50,50,59.94,10.08,0.16863132388445193,0.8313686761155481,0.7208986484805349,0.9294062334724099,0.20850758499187505,1.290269272151732,1.1742082819141644,-0.11606099023756758,385.56,24.22,0.9364089854599532,0.685264095706348,0.8005974597298127,0.62
30,0.3,50,50,93.32,42.4,0.4536165336325708,0.5463834663674292,0.7011161379341246,0.7794162906918927,0.07830015275776805,1.2898190722161276,1.2867414284783736,-0.003077643737753899,771.5,196.98,0.7454230289123747,0.6796204368705512,0.7180659438259732,16.86
30,0.4,50,50,123.9,74.32,0.5990898657881973,0.4009101342118026,0.7032965268148571,0.7379832144769481,0.03468668766209099,1.2481858342873744,1.2879797811619165,0.03979394687454209,1170.88,461.36,0.606622193522883,0.682417795714682,0.6989422340141948,71.82
30,0.5,50,50,147.76,102.68,0.6946088005798245,0.3053911994201755,0.7339431987811181,0.7407903289942497,0.0068471302131316025,1.1456221076531072,1.2574693919773505,0.11184728432424329,1517.9,744.48,0.5101583753314094,0.7107427128656615,0.7062546662874084,158.14
30,0.6,50,50,156.9,124.72,0.7951142527286739,0.2048857472713261,0.83065407433557,0.7847173588446559,-0.045936715490914104,1.1868645948623755,1.2397599070576288,0.05289531219525338,1749.56,989.04,0.434876599079739,0.7977927125912873,0.7460007696412357,271.82
30,0.7,50,50,128.4,123.3,0.9622923145394966,0.03770768546050344,0.9958077922077923,0.9555066847346807,-0.04030110747311153,1.2954292573268325,1.296210372455029,0.0007811151281963013,1774.84,1105.26,0.37720333847451293,0.9769749871696483,0.9001821476295356,366.86
