file_name,file_path,graph_family,graph_type,n,seed,p_delete,p_positive,cluster_sizes,ego_id,complete_pivot_best_cost,complete_pivot_average_cost,complete_bad_triangles_total,complete_bad_triangles_min_disjoint,complete_bad_triangles_max_disjoint,complete_ilp_cost,complete_lp_cost,complete_primal_cost,complete_dual_cost,complete_average_pivot_approx,complete_lp_ratio,complete_bad_triangle_primal_ratio,complete_bad_triangle_dual_ratio,complete_min_disjoint_bad_triangle_ratio,complete_max_disjoint_bad_triangle_ratio,edge_num_edges_deleted,edge_pivot_best_cost,edge_pivot_average_cost,edge_bad_triangles_total,edge_bad_triangles_min_disjoint,edge_bad_triangles_max_disjoint,edge_ilp_without4_cost,edge_ilp_with4_cost,edge_bad_4_cycles_count,same_clustering_4_cycle,edge_lp_without4_cost,edge_lp_with4_cost,edge_primal_cost,edge_dual_cost,edge_average_pivot_approx_without4,edge_average_pivot_approx_with4,edge_lp_ratio_without4,edge_lp_ratio_with4,edge_bad_triangle_primal_ratio,edge_bad_triangle_dual_ratio,edge_min_disjoint_bad_triangle_ratio,edge_max_disjoint_bad_triangle_ratio,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,edge_all_pairs_lp_to_ilp_ratio,edge_all_pairs_ilp_runtime_seconds,edge_all_pairs_lp_runtime_seconds,edge_all_pairs_ilp_optimal,runtime_seconds
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,6,0.15,,"[5, 5]",,2,3.86,10,,2,2.0,2.0,2.0,,1.93,1.0,1.0,,,1.0,8,1,3.71,2,,1,1.0,1.0,0.0,,1.0,1.0,1.0,,3.71,3.71,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.002000093460083,0.0,True,0.0363261699676513
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,6,0.25,,"[5, 5]",,2,3.86,10,,2,2.0,2.0,2.0,,1.93,1.0,1.0,,,1.0,10,1,4.36,2,,1,1.0,1.0,0.0,,1.0,1.0,1.0,,4.36,4.36,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0029997825622558,0.0,True,0.0324108600616455
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,6,0.4,,"[5, 5]",,2,3.86,10,,2,2.0,2.0,2.0,,1.93,1.0,1.0,,,1.0,18,1,3.78,0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0029997825622558,0.0,True,0.031466007232666
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,7,0.05,,"[5, 5]",,4,7.37,16,,4,4.0,4.0,4.0,,1.8425,1.0,1.0,,,1.0,5,4,7.37,11,,4,4.0,4.0,1.0,,4.0,4.0,4.0,,1.8425,1.8425,1.0,1.0,1.0,,,1.0,4.0,4.0,1.0,0.0030000209808349,0.0,True,0.0396060943603515
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,7,0.15,,"[5, 5]",,4,7.37,16,,4,4.0,4.0,4.0,,1.8425,1.0,1.0,,,1.0,5,4,7.37,11,,4,4.0,4.0,1.0,,4.0,4.0,4.0,,1.8425,1.8425,1.0,1.0,1.0,,,1.0,4.0,4.0,1.0,0.0019998550415039,0.0,True,0.0420892238616943
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,7,0.25,,"[5, 5]",,4,7.37,16,,4,4.0,4.0,4.0,,1.8425,1.0,1.0,,,1.0,12,5,5.78,5,,3,3.0,3.0,0.0,,3.0,3.0,3.0,,1.9266666666666667,1.9266666666666667,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.0029997825622558,0.0,True,0.0321128368377685
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,7,0.4,,"[5, 5]",,4,7.37,16,,4,4.0,4.0,4.0,,1.8425,1.0,1.0,,,1.0,18,1,3.17,1,,1,1.0,1.0,0.0,,1.0,1.0,1.0,,3.17,3.17,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0030000209808349,0.0009999275207519,True,0.0315399169921875
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,8,0.05,,"[5, 5]",,5,9.0,25,,5,5.0,5.0,5.0,,1.8,1.0,1.0,,,1.0,1,5,9.4,23,,5,5.0,5.0,0.0,,5.0,5.0,5.0,,1.88,1.88,1.0,1.0,1.0,,,1.0,5.0,5.0,1.0,0.0030000209808349,0.001000165939331,True,0.0949070453643798
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,8,0.15,,"[5, 5]",,5,9.0,25,,5,5.0,5.0,5.0,,1.8,1.0,1.0,,,1.0,6,3,7.8,14,,3,3.0,3.0,0.0,,3.0,3.0,3.0,,2.6,2.6,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.002000093460083,0.0,True,0.0622839927673339
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,8,0.25,,"[5, 5]",,5,9.0,25,,5,5.0,5.0,5.0,,1.8,1.0,1.0,,,1.0,12,3,6.92,8,,3,3.0,3.0,4.0,,3.0,3.0,3.0,,2.306666666666666,2.306666666666666,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.0029997825622558,0.0009999275207519,True,0.129936933517456
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,8,0.4,,"[5, 5]",,5,9.0,25,,5,5.0,5.0,5.0,,1.8,1.0,1.0,,,1.0,25,4,6.58,2,,1,2.0,2.0,6.0,,2.0,2.0,1.0,,3.29,3.29,1.0,1.0,0.5,,,0.5,2.0,2.0,1.0,0.002000093460083,0.001000165939331,True,0.0484240055084228
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,9,0.05,,"[5, 5]",,10,13.52,37,,8,9.0,9.0,9.0,,1.502222222222222,1.0,1.0,,,0.8888888888888888,2,10,13.26,35,,8,9.0,9.0,0.0,,9.0,9.0,9.0,,1.4733333333333334,1.4733333333333334,1.0,1.0,1.0,,,0.8888888888888888,9.0,9.0,1.0,0.0030000209808349,0.0009999275207519,True,0.0670709609985351
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,9,0.15,,"[5, 5]",,10,13.52,37,,8,9.0,9.0,9.0,,1.502222222222222,1.0,1.0,,,0.8888888888888888,8,9,12.05,24,,8,8.0,8.0,1.0,,8.0,8.0,8.0,,1.50625,1.50625,1.0,1.0,1.0,,,1.0,8.0,8.0,1.0,0.0030000209808349,0.001000165939331,True,0.0464048385620117
