n,p_positive,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
10,0.3,0.40,50,17.8,6.94,0.0,0.0,0.0,1.0,0.929849025974026,,1.124119769119769,,22.64,0.0,1.0,0.0,0.0,0.0
10,0.4,0.05,50,2.24,9.2,7.8,7.8,0.8546103896103896,0.14538961038961037,0.9294859307359308,0.9420944564694564,1.1589733044733044,1.1346147186147186,33.68,25.16,0.24785306752353617,0.2,0.0,0.12
10,0.4,0.15,50,6.74,9.2,5.12,5.08,0.5575223665223665,0.44247763347763347,0.9294859307359308,0.9661587301587302,1.1589733044733044,1.108436507936508,33.68,12.84,0.6203221110862545,0.48,0.04,0.12
10,0.4,0.25,50,11.18,9.2,2.48,2.38,0.2663809523809524,0.7336190476190476,0.9294859307359308,0.9718085106382979,1.1589733044733044,1.1464539007092198,33.68,4.5,0.8667756230187553,0.42,0.1,0.2
10,0.4,0.40,50,17.8,9.2,0.0,0.0,0.0,1.0,0.9294859307359308,,1.1589733044733044,,33.68,0.0,1.0,0.0,0.0,0.0
10,0.5,0.05,50,2.24,11.12,9.84,9.84,0.8860300810300811,0.11396991896991897,0.9528628038628039,0.955061383061383,1.1809842934842936,1.1687814962814962,44.4,35.64,0.19778152073701372,0.34,0.0,0.08
10,0.5,0.15,50,6.74,11.12,7.08,6.98,0.6387302142302143,0.36126978576978575,0.9528628038628039,0.9717009379509379,1.1809842934842936,1.1738037518037518,44.4,21.18,0.5239783384099527,1.3,0.1,0.18
10,0.5,0.25,50,11.18,11.12,4.58,4.46,0.4147763902763903,0.5852236097236098,0.9528628038628039,0.9652738095238095,1.1809842934842936,1.2045714285714286,44.4,10.6,0.7623598056872345,1.36,0.12,0.22
10,0.5,0.40,50,17.8,11.12,1.28,1.1,0.11697186147186148,0.8830281385281386,0.9528628038628039,0.9732456140350877,1.1809842934842936,1.0973684210526315,44.4,1.66,0.9621743223753122,0.34,0.18,0.2
10,0.6,0.05,50,2.24,12.02,11.0,11.0,0.9166281496281496,0.08337185037185037,0.9791305361305361,0.9846335331335332,1.1675878565878566,1.1523261738261739,51.02,42.58,0.1661009935393252,0.46,0.0,0.02
10,0.6,0.15,50,6.74,12.02,8.82,8.78,0.7375793095793096,0.26242069042069044,0.9791305361305361,0.9843069985569985,1.1675878565878566,1.203463924963925,51.02,28.22,0.44615055234852635,2.06,0.04,0.18
10,0.6,0.25,50,11.18,12.02,6.64,6.58,0.5576999666999667,0.4423000333000333,0.9791305361305361,0.9821587301587301,1.1675878565878566,1.2285396825396826,51.02,16.8,0.6709500971914721,2.94,0.06,0.3
10,0.6,0.40,50,17.8,12.02,3.14,2.94,0.26316439116439116,0.7368356088356088,0.9791305361305361,0.9781428571428571,1.1675878565878566,1.2463809523809524,51.02,5.44,0.8936246192877536,1.42,0.2,0.38
10,0.7,0.05,50,2.24,11.38,10.86,10.86,0.9574951714951715,0.04250482850482851,0.9973216783216783,0.9957948717948718,1.1405476745476746,1.1729121989121989,51.38,44.14,0.13974639564886432,0.6,0.0,0.06
10,0.7,0.15,50,6.74,11.38,9.6,9.6,0.8518654678654679,0.14813453213453215,0.9973216783216783,0.9952214452214452,1.1405476745476746,1.234020091020091,51.38,31.4,0.38653788242375287,2.78,0.0,0.18
10,0.7,0.25,50,11.18,11.38,8.0,8.0,0.7148514818514818,0.28514851814851816,0.9973216783216783,0.9958791208791209,1.1405476745476746,1.271996336996337,51.38,21.04,0.5895140310903213,4.24,0.0,0.24
10,0.7,0.40,50,17.8,11.38,5.02,4.78,0.452005328005328,0.547994671994672,0.9973216783216783,0.9872294372294372,1.1405476745476746,1.3682316017316016,51.38,9.74,0.8109964260774138,3.06,0.22,0.54
