n,cluster_sizes,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
25,"[10, 10, 5]",0.25,50,74.68,29.04,21.54,21.54,0.7420356207889038,0.25796437921109616,1.0,1.0,1.3978772030386442,1.88389862864809,315.56,130.78,0.5828298253816437,56.46,0.0,0.04
25,"[10, 10, 5]",0.40,50,120.46,29.04,16.78,16.5,0.5812316226842787,0.41876837731572125,1.0,0.9981801346801347,1.3978772030386442,2.0294555181772505,315.56,66.52,0.786869489624827,57.2,0.24,0.24
25,"[12, 7, 6]",0.05,50,14.66,28.78,27.22,27.22,0.9457829944133431,0.05421700558665693,1.0,1.0,1.4477112069166846,1.553754414350243,317.54,273.2,0.1407049065110804,5.96,0.0,0.0
25,"[12, 7, 6]",0.15,50,44.62,28.78,24.14,24.14,0.8387744921622803,0.16122550783771977,1.0,1.0,1.4477112069166846,1.7319084588728468,317.54,193.06,0.3915190043849601,36.22,0.0,0.02
25,"[12, 7, 6]",0.25,50,74.68,28.78,20.98,20.98,0.729372293663325,0.27062770633667493,1.0,1.0,1.4477112069166846,1.908776152205743,317.54,132.72,0.5815831660216193,59.92,0.0,0.04
25,"[12, 7, 6]",0.40,50,120.46,28.78,16.56,16.4,0.5785489214394666,0.42145107856053343,1.0,0.9995,1.4477112069166846,2.1210513457467286,317.54,69.04,0.7812458730258973,59.54,0.14,0.2
25,"[13, 12]",0.05,50,14.66,29.06,27.6,27.6,0.9485594418367399,0.05144055816326014,1.0,1.0,1.3360271807518895,1.450904408381887,402.4,346.16,0.1402258864564702,10.06,0.0,0.0
25,"[13, 12]",0.15,50,44.62,29.06,24.84,24.84,0.8543892561953474,0.14561074380465255,1.0,1.0,1.3360271807518895,1.871524783328638,402.4,246.38,0.38699399533741674,61.28,0.0,0.0
25,"[13, 12]",0.25,50,74.68,29.06,21.56,21.56,0.7408369540140536,0.25916304598594647,1.0,1.0,1.3360271807518895,2.218789784183949,402.4,169.88,0.5784051934512514,101.38,0.0,0.0
25,"[13, 12]",0.40,50,120.46,29.06,17.16,17.02,0.5918932185656214,0.4081067814343787,1.0,1.0,1.3360271807518895,2.596422060653485,402.4,86.62,0.7845880501022102,101.82,0.12,0.1
25,"[9, 8, 8]",0.05,50,14.66,28.66,27.24,27.24,0.9496256319792291,0.05037436802077089,1.0,1.0,1.413577605957107,1.5020281837622151,294.3,253.62,0.1397032974751965,5.02,0.0,0.02
25,"[9, 8, 8]",0.15,50,44.62,28.66,23.98,23.98,0.8368665769885928,0.1631334230114072,1.0,1.0,1.413577605957107,1.6684371689317588,294.3,177.26,0.3966881050073631,28.7,0.0,0.04
25,"[9, 8, 8]",0.25,50,74.68,28.66,21.2,21.16,0.7396148456409117,0.2603851543590883,1.0,0.9995652173913043,1.413577605957107,1.802076624703425,294.3,123.9,0.5773458089997057,47.28,0.04,0.02
25,"[9, 8, 8]",0.40,50,120.46,28.66,16.68,16.42,0.5851058617296276,0.4148941382703723,1.0,1.0,1.413577605957107,1.9125987092430758,294.3,64.24,0.7796681279782378,50.0,0.26,0.36
30,"[10, 10, 10]",0.05,50,21.24,41.58,39.38,39.38,0.9479640919026542,0.05203590809734584,1.0,1.0,1.466090486403719,1.571463688112393,540.62,466.06,0.1371070525949019,12.08,0.0,0.0
30,"[10, 10, 10]",0.15,50,64.8,41.58,34.62,34.62,0.8331832641990726,0.16681673580092732,1.0,1.0,1.466090486403719,1.8177994328496754,540.62,326.26,0.39535056428221615,69.74,0.0,0.0
30,"[10, 10, 10]",0.25,50,108.46,41.58,30.7,30.66,0.7383350178932925,0.2616649821067076,1.0,1.0,1.466090486403719,1.9713493890499576,540.62,225.18,0.5829225772057224,119.66,0.04,0.06
30,"[10, 10, 10]",0.40,50,174.28,41.58,24.2,24.04,0.5825915904001684,0.41740840959983155,1.0,1.0,1.466090486403719,2.146459494153982,540.62,114.4,0.7889776264890773,124.32,0.14,0.24
30,"[15, 10, 5]",0.05,50,21.24,42.0,39.8,39.8,0.9468256502607135,0.05317434973928648,1.0,1.0,1.510278224747799,1.616931462636951,588.42,508.4,0.13739629097467768,15.14,0.0,0.0
30,"[15, 10, 5]",0.15,50,64.8,42.0,35.06,35.06,0.8354266806266922,0.16457331937330777,1.0,1.0,1.510278224747799,1.877605364102127,588.42,360.18,0.3878415908660135,87.98,0.0,0.02
30,"[15, 10, 5]",0.25,50,108.46,42.0,31.08,31.02,0.7409142559332732,0.2590857440667268,1.0,1.0,1.510278224747799,2.0755578268789785,588.42,247.88,0.5785878317236114,148.38,0.06,0.0
